data,property_id,url
<binary_data_55490_bytes>,29941,https://venda-imoveis.caixa.gov.br/fotos/F878771473896821.jpg
<binary_data_52003_bytes>,29942,https://venda-imoveis.caixa.gov.br/fotos/F878771342444721.jpg
<binary_data_53212_bytes>,29943,https://venda-imoveis.caixa.gov.br/fotos/F855553275792321.jpg
<binary_data_59874_bytes>,29944,https://venda-imoveis.caixa.gov.br/fotos/F844441853627021.jpg
<binary_data_63273_bytes>,29945,https://venda-imoveis.caixa.gov.br/fotos/F855552863241021.jpg
<binary_data_45941_bytes>,29946,https://venda-imoveis.caixa.gov.br/fotos/F844442495850421.jpg
<binary_data_45761_bytes>,29947,https://venda-imoveis.caixa.gov.br/fotos/F878771359014221.jpg
<binary_data_30805_bytes>,29848,https://venda-imoveis.caixa.gov.br/fotos/F844441778733321.jpg
<binary_data_51645_bytes>,29949,https://venda-imoveis.caixa.gov.br/fotos/F878771330066721.jpg
<binary_data_53613_bytes>,29950,https://venda-imoveis.caixa.gov.br/fotos/F878771315762721.jpg
<binary_data_45867_bytes>,29951,https://venda-imoveis.caixa.gov.br/fotos/F144441649054121.jpg
<binary_data_33454_bytes>,29952,https://venda-imoveis.caixa.gov.br/fotos/F844442292790321.jpg
<binary_data_45341_bytes>,29953,https://venda-imoveis.caixa.gov.br/fotos/F844442190739921.jpg
<binary_data_34274_bytes>,29954,https://venda-imoveis.caixa.gov.br/fotos/F844442516552421.jpg
<binary_data_44925_bytes>,29955,https://venda-imoveis.caixa.gov.br/fotos/F844441225530921.jpg
<binary_data_53547_bytes>,29956,https://venda-imoveis.caixa.gov.br/fotos/F144441642622321.jpg
<binary_data_56039_bytes>,29957,https://venda-imoveis.caixa.gov.br/fotos/F155553909511121.jpg
<binary_data_30364_bytes>,29958,https://venda-imoveis.caixa.gov.br/fotos/F144440799567921.jpg
<binary_data_73328_bytes>,29959,https://venda-imoveis.caixa.gov.br/fotos/F855553827386321.jpg
<binary_data_71451_bytes>,29960,https://venda-imoveis.caixa.gov.br/fotos/F855553778258621.jpg
<binary_data_53455_bytes>,29961,https://venda-imoveis.caixa.gov.br/fotos/F878770921571521.jpg
<binary_data_64131_bytes>,29962,https://venda-imoveis.caixa.gov.br/fotos/F102394187533921.jpg
<binary_data_85502_bytes>,29963,https://venda-imoveis.caixa.gov.br/fotos/F706420008362121.jpg
<binary_data_100542_bytes>,29963,https://venda-imoveis.caixa.gov.br/fotos/F706420008362122.jpg
<binary_data_106507_bytes>,29963,https://venda-imoveis.caixa.gov.br/fotos/F706420008362123.jpg
<binary_data_51785_bytes>,29964,https://venda-imoveis.caixa.gov.br/fotos/F878771178869721.jpg
<binary_data_65698_bytes>,29965,https://venda-imoveis.caixa.gov.br/fotos/F144441602615221.jpg
<binary_data_46630_bytes>,29966,https://venda-imoveis.caixa.gov.br/fotos/F878771311888521.jpg
<binary_data_37963_bytes>,29967,https://venda-imoveis.caixa.gov.br/fotos/F878771472416921.jpg
<binary_data_30805_bytes>,29848,https://venda-imoveis.caixa.gov.br/fotos/F844441778733321.jpg
<binary_data_48661_bytes>,29969,https://venda-imoveis.caixa.gov.br/fotos/F829520000435521.jpg
<binary_data_53985_bytes>,29970,https://venda-imoveis.caixa.gov.br/fotos/F855550885721221.jpg
<binary_data_58590_bytes>,29971,https://venda-imoveis.caixa.gov.br/fotos/F855553821065921.jpg
<binary_data_61358_bytes>,29972,https://venda-imoveis.caixa.gov.br/fotos/F844441154493521.jpg
<binary_data_36151_bytes>,29973,https://venda-imoveis.caixa.gov.br/fotos/F844441656358021.jpg
<binary_data_72106_bytes>,29974,https://venda-imoveis.caixa.gov.br/fotos/F844442368624121.jpg
<binary_data_43280_bytes>,29975,https://venda-imoveis.caixa.gov.br/fotos/F144441504914021.jpg
<binary_data_59279_bytes>,29976,https://venda-imoveis.caixa.gov.br/fotos/F844441843704221.jpg
<binary_data_48585_bytes>,29976,https://venda-imoveis.caixa.gov.br/fotos/F844441843704222.jpg
<binary_data_69998_bytes>,29977,https://venda-imoveis.caixa.gov.br/fotos/F844441858101121.jpg
<binary_data_16331_bytes>,29978,https://venda-imoveis.caixa.gov.br/fotos/F844441350473621.jpg
<binary_data_49561_bytes>,29979,https://venda-imoveis.caixa.gov.br/fotos/F000001021041021.jpg
<binary_data_54290_bytes>,29980,https://venda-imoveis.caixa.gov.br/fotos/F855553497141821.jpg
<binary_data_64336_bytes>,29981,https://venda-imoveis.caixa.gov.br/fotos/F855553258843921.jpg
<binary_data_17599_bytes>,29982,https://venda-imoveis.caixa.gov.br/fotos/F000001020764721.jpg
<binary_data_51390_bytes>,29983,https://venda-imoveis.caixa.gov.br/fotos/F144440806006121.jpg
<binary_data_83817_bytes>,29984,https://venda-imoveis.caixa.gov.br/fotos/F803565850816021.jpg
<binary_data_65576_bytes>,29985,https://venda-imoveis.caixa.gov.br/fotos/F878770488287021.jpg
<binary_data_72187_bytes>,29986,https://venda-imoveis.caixa.gov.br/fotos/F878770360016121.jpg
<binary_data_72590_bytes>,29987,https://venda-imoveis.caixa.gov.br/fotos/F855553825378121.jpg
<binary_data_30805_bytes>,29848,https://venda-imoveis.caixa.gov.br/fotos/F844441778733321.jpg
<binary_data_67394_bytes>,29989,https://venda-imoveis.caixa.gov.br/fotos/F855553911777621.jpg
<binary_data_37215_bytes>,29990,https://venda-imoveis.caixa.gov.br/fotos/F855553884505021.jpg
<binary_data_18507_bytes>,29991,https://venda-imoveis.caixa.gov.br/fotos/F878771420460221.jpg
<binary_data_55412_bytes>,29992,https://venda-imoveis.caixa.gov.br/fotos/F855553657842021.jpg
<binary_data_56690_bytes>,29993,https://venda-imoveis.caixa.gov.br/fotos/F844441805078421.jpg
<binary_data_58760_bytes>,29994,https://venda-imoveis.caixa.gov.br/fotos/F878771260571521.jpg
<binary_data_31844_bytes>,29995,https://venda-imoveis.caixa.gov.br/fotos/F878770799601921.jpg
<binary_data_34288_bytes>,29996,https://venda-imoveis.caixa.gov.br/fotos/F878771128846521.jpg
<binary_data_53274_bytes>,29997,https://venda-imoveis.caixa.gov.br/fotos/F844442786805021.jpg
<binary_data_50490_bytes>,29998,https://venda-imoveis.caixa.gov.br/fotos/F878771076071321.jpg
<binary_data_38762_bytes>,29999,https://venda-imoveis.caixa.gov.br/fotos/F844441950589021.jpg
<binary_data_53120_bytes>,30000,https://venda-imoveis.caixa.gov.br/fotos/F855553507440121.jpg
<binary_data_61209_bytes>,30001,https://venda-imoveis.caixa.gov.br/fotos/F878771239285121.jpg
<binary_data_51004_bytes>,30002,https://venda-imoveis.caixa.gov.br/fotos/F878771006812721.jpg
<binary_data_55331_bytes>,30003,https://venda-imoveis.caixa.gov.br/fotos/F844440646147421.jpg
<binary_data_81911_bytes>,30004,https://venda-imoveis.caixa.gov.br/fotos/F878771151731621.jpg
<binary_data_51099_bytes>,30005,https://venda-imoveis.caixa.gov.br/fotos/F878771017727921.jpg
<binary_data_68429_bytes>,30006,https://venda-imoveis.caixa.gov.br/fotos/F855553805207721.jpg
<binary_data_50012_bytes>,30007,https://venda-imoveis.caixa.gov.br/fotos/F878770778971421.jpg
<binary_data_30805_bytes>,29848,https://venda-imoveis.caixa.gov.br/fotos/F844441778733321.jpg
<binary_data_60994_bytes>,30009,https://venda-imoveis.caixa.gov.br/fotos/F144441289445121.jpg
<binary_data_63213_bytes>,30010,https://venda-imoveis.caixa.gov.br/fotos/F144441279402321.jpg
<binary_data_94616_bytes>,30011,https://venda-imoveis.caixa.gov.br/fotos/F144442150720121.jpg
<binary_data_21856_bytes>,30012,https://venda-imoveis.caixa.gov.br/fotos/F144441788467521.jpg
<binary_data_30497_bytes>,30013,https://venda-imoveis.caixa.gov.br/fotos/F844442006771021.jpg
<binary_data_63227_bytes>,30014,https://venda-imoveis.caixa.gov.br/fotos/F144441782546621.jpg
<binary_data_49582_bytes>,30015,https://venda-imoveis.caixa.gov.br/fotos/F844441879212821.jpg
<binary_data_26596_bytes>,30016,https://venda-imoveis.caixa.gov.br/fotos/F000001019852421.jpg
<binary_data_46691_bytes>,30017,https://venda-imoveis.caixa.gov.br/fotos/F855553919264621.jpg
<binary_data_59630_bytes>,30018,https://venda-imoveis.caixa.gov.br/fotos/F855553957507321.jpg
<binary_data_68380_bytes>,30019,https://venda-imoveis.caixa.gov.br/fotos/F878770477771521.jpg
<binary_data_44439_bytes>,30020,https://venda-imoveis.caixa.gov.br/fotos/F844442730467021.jpg
<binary_data_78714_bytes>,30021,https://venda-imoveis.caixa.gov.br/fotos/F844442279736821.jpg
<binary_data_67617_bytes>,30022,https://venda-imoveis.caixa.gov.br/fotos/F844441320238121.jpg
<binary_data_22348_bytes>,30023,https://venda-imoveis.caixa.gov.br/fotos/F878770796823621.jpg
<binary_data_72679_bytes>,30024,https://venda-imoveis.caixa.gov.br/fotos/F844442758803121.jpg
<binary_data_65614_bytes>,30025,https://venda-imoveis.caixa.gov.br/fotos/F844442183342521.jpg
<binary_data_44442_bytes>,30026,https://venda-imoveis.caixa.gov.br/fotos/F844443127804121.jpg
<binary_data_52142_bytes>,30027,https://venda-imoveis.caixa.gov.br/fotos/F878770232683021.jpg
<binary_data_30805_bytes>,29848,https://venda-imoveis.caixa.gov.br/fotos/F844441778733321.jpg
<binary_data_67246_bytes>,30029,https://venda-imoveis.caixa.gov.br/fotos/F844442901504721.jpg
<binary_data_51730_bytes>,30030,https://venda-imoveis.caixa.gov.br/fotos/F844441519199921.jpg
<binary_data_34398_bytes>,30031,https://venda-imoveis.caixa.gov.br/fotos/F144441577317521.jpg
<binary_data_53012_bytes>,30032,https://venda-imoveis.caixa.gov.br/fotos/F878771217582621.jpg
<binary_data_59572_bytes>,30033,https://venda-imoveis.caixa.gov.br/fotos/F878770576604021.jpg
<binary_data_52754_bytes>,30034,https://venda-imoveis.caixa.gov.br/fotos/F878771234486521.jpg
<binary_data_66722_bytes>,30035,https://venda-imoveis.caixa.gov.br/fotos/F878770622886721.jpg
<binary_data_44123_bytes>,30036,https://venda-imoveis.caixa.gov.br/fotos/F878770477281021.jpg
<binary_data_57828_bytes>,30037,https://venda-imoveis.caixa.gov.br/fotos/F155552648278221.jpg
<binary_data_59904_bytes>,30038,https://venda-imoveis.caixa.gov.br/fotos/F855553293207521.jpg
<binary_data_32136_bytes>,30039,https://venda-imoveis.caixa.gov.br/fotos/F878770780425021.jpg
<binary_data_51765_bytes>,30040,https://venda-imoveis.caixa.gov.br/fotos/F855550489642621.jpg
<binary_data_37335_bytes>,30041,https://venda-imoveis.caixa.gov.br/fotos/F878771175077021.jpg
<binary_data_70544_bytes>,30042,https://venda-imoveis.caixa.gov.br/fotos/F844442866098421.jpg
<binary_data_62175_bytes>,30043,https://venda-imoveis.caixa.gov.br/fotos/F844441824410421.jpg
<binary_data_54666_bytes>,30044,https://venda-imoveis.caixa.gov.br/fotos/F844442307625721.jpg
<binary_data_79471_bytes>,30045,https://venda-imoveis.caixa.gov.br/fotos/F844441083122121.jpg
<binary_data_19555_bytes>,30046,https://venda-imoveis.caixa.gov.br/fotos/F855553393393821.jpg
<binary_data_18957_bytes>,30047,https://venda-imoveis.caixa.gov.br/fotos/F878771087910921.jpg
<binary_data_30805_bytes>,29848,https://venda-imoveis.caixa.gov.br/fotos/F844441778733321.jpg
<binary_data_57091_bytes>,30049,https://venda-imoveis.caixa.gov.br/fotos/F878770866548221.jpg
